 ,week_days_found,current Weekday,month_found,current month,date_found,current date,time_found,current time,day_match,month_match,date_match,time_match,result,comments,
\A 06h30-09h30  16h-18h LUNDI AU VENDREDI,"[1, 4]",5,[],1,[],21,09h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 06h30-09h30  16h-18h30 LUN. AU VEN.,,5,,1,,21,,15:09:00,FALSE,,,TRUE,{'result': 0},,
\A 06h30-09h30 LUN. AU VEN.,[3],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h30-18h30 LUN A VEN,"[0, 1, 2, 3, 4]",5,[],1,[],21,09h-21h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 07h-08h ET 13h-15h LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE,,5,,1,,21,09h-22h30,15:09:00,,,,,{'result': 0},OK,
\A 07h-09h  16h-18h LUN. AU VEN.,"[1, 4]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,13h-14h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h  16h-18h30 LUN. AU VEN.,,5,,1,,21,,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 07h-09h LUN. AU VEN.,"[1, 4]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30  14h30-18h30 LUN A VEN,[0],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,13h30-14h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30  15h-18h30 LUN. AU VEN.,[4],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,12h30-13h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30  15h-19h LUN. AU VEN.,"[0, 3]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,08h30-09h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30  15h30-17h30 LUN. AU VEN.,"[0, 1, 2, 3, 4]",5,[],1,[],21,08h-19h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 07h-09h30  15h30-18h30 LUN. AU VEN.,"[0, 3]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,21h-22h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30  16h-18h LUN. AU VEN.,"[1, 4]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,21h-22h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30  16h-18h30 LUN. AU VEN.,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,12h-13h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-09h30 LUN. AU VEN.,"[1, 4]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,10h30-11h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-16h JOURS D'ECOLE,[0],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-16h LUN A VEN SEPT. A JUIN EXCEPTE PICTOGRAMME AUTOBUS SCOLAIRE,[4],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-18h   JOURS D'ECOLE,"[0, 1, 2, 3, 4]",5,[],1,[],,09h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 07h-18h LUN A VEN SEPT. A JUIN,"[0, 1, 2, 3, 4]",5,[],1,[],,09h-11h30,15:09:00,FALSE,,,FALSE,{'result': 0},OK,
\A 07h-18h LUN. AU VEN.,"[0, 1, 2, 3, 4]",5,[],1,[],,08h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 07h-19h,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,12h30-13h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-19h LUN. AU VEN.,"[0, 3]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,13h-14h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h-22h LUN. AU VEN.,"[0, 1, 2, 3, 4, 5]",5,[],1,[],,08h-19h,15:09:00,TRUE,,,TRUE,{'result': 1},,
\A 07h30-08h30  ET  14h30-15H30  LUN A VEN,"[0, 3]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,09h-10h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h30-09h30 LUN. AU VEN.,[4],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,10h-11h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h30-16h JOURS D'ECOLE,[],5,[],1,[],,15h-09h,15:09:00,,,,FALSE,{'result': 0},,
\A 07h30-16h LUN. AU VEN.,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,13h-14h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h30-17h JOURS D`ECOLE,[],5,[1],1,[2],,09h-21h,15:09:00,,TRUE,FALSE,TRUE,{'result': 0},,
\A 07h30-17h30 JOURS D'ECOLE,[0],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,07h-08h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 07h30-17h30 LUN A VEN SEPT. A JUIN,"[0, 1, 2, 3, 4]",5,[],1,[],,08h-19h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 07h30-18h JOURS D'ECOLE,,5,,1,,,,,FALSE,,,TRUE,{'result': 0},,
\A 07h30-9h LUN. A VEN.,"[0, 1, 2, 3, 4]",5,[],1,[],,"['07h-09h30', '15h-19h']",,FALSE,,,TRUE,{'result': 0},,
\A 08h-09h  LUN. AU VEN.,[2],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",,09h-10h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 08h-09h30  15h-18h30 LUN. AU VEN.,"[0, 1, 2, 3, 4, 5]",5,[],1,[],,08h-18h,,TRUE,,,TRUE,{'result': 1},,
\A 08h-09h30  15h-19h LUN. AU VEN.,"[0, 1, 2, 3, 4]",5,[],1,[],,09h-18h,,FALSE,,,TRUE,{'result': 0},Always parking availabe !!!! Results should be 0,
\A 08h-09h30  16h-18h LUN. AU VEN.,"[0, 1, 2, 3, 4]",5,[],,[],,09h30-17h,,FALSE,,,TRUE,{'result': 0},,
\A 08h-09h30  16h-18h30 LUN. AU VEN.,"[1, 4]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,14h-15h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 08h-09h30 LUN. AU VEN.,,5,,,,,09h-21h30,,,,,,{'result': 0},Time should be true.,
\A 08h-16h JOURS D'ECOLE,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",,"[1, 1]",,19h-20h,,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
